copies,size_bytes,ext,sha256,paths
5,88833,4 2,5567c8b9a3df245aad16a0d422a19bd6062c5caa4641273926056c404bdecf76,WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing.zip!Module writing/SOVEREIGN_MASTER_v1.4 | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing.zip!Module writing/SOVEREIGN_MASTER_v1.4 2 | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/SOVEREIGN_MASTER_v1.4 | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/SOVEREIGN_MASTER_v1.4 2 | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/SOVEREIGN_MASTER_v1.4
4,3042,md,4a813db161e8bbb55c5a08053703a8d0ac1d689a41bd8531ba4b1235294d4320,WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing.zip!Module writing/SOVEREIGN_PROGRAM_REPOSITORY_v1.2.0-RC2.zip!SOV_v1.2.0/01_ENGINEERING/SES/SES-011_TERMINOLOGY.md | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing.zip!Module writing/SOVEREIGN_PROGRAM_REPOSITORY_v1.2.0-RC2.zip!SOV_v1.2.0/Bootstrap_Package/03_KNOWLEDGE/TERMINOLOGY.md | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/SOVEREIGN_PROGRAM_REPOSITORY_v1.2.0-RC2.zip!SOV_v1.2.0/01_ENGINEERING/SES/SES-011_TERMINOLOGY.md | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/SOVEREIGN_PROGRAM_REPOSITORY_v1.2.0-RC2.zip!SOV_v1.2.0/Bootstrap_Package/03_KNOWLEDGE/TERMINOLOGY.md
4,843,md,2226fd093db1ffe1463273dfdb4996eb65012ed23fdab22117c30b491e1a8186,WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing.zip!Module writing/SOVEREIGN_PROGRAM_REPOSITORY_v1.2.0-RC2.zip!SOV_v1.2.0/Bootstrap_Package/05_SESSION/NEXT_ACTIONS.md | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing.zip!Module writing/SOVEREIGN_PROGRAM_REPOSITORY_v1.2.0-RC2.zip!SOV_v1.2.0/NEXT_ACTION.md | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/SOVEREIGN_PROGRAM_REPOSITORY_v1.2.0-RC2.zip!SOV_v1.2.0/Bootstrap_Package/05_SESSION/NEXT_ACTIONS.md | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/SOVEREIGN_PROGRAM_REPOSITORY_v1.2.0-RC2.zip!SOV_v1.2.0/NEXT_ACTION.md
3,43972,docx,6e424f163bbb3867623f4e6056b21a9a8724e2ea2a5a5768b6c5b77406f122e2,WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing.zip!Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/NARRATIVEOS_EXECUTION_ENGINE_HARDENED_NEXT3.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/NARRATIVEOS_EXECUTION_ENGINE_HARDENED_NEXT3.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM/ENGINE/NARRATIVEOS_EXECUTION_ENGINE_HARDENED_NEXT3.docx
3,43771,docx,fab018b4caf39033724a99b760360a06db7915063e443c562d97052be2742a3b,WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing.zip!Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/NARRATIVEOS_EXECUTION_ENGINE_HARDENED_TOP3.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/NARRATIVEOS_EXECUTION_ENGINE_HARDENED_TOP3.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM/ENGINE/NARRATIVEOS_EXECUTION_ENGINE_HARDENED_TOP3.docx
3,38924,docx,9292652eff91fdc639782edcfd9f036f9745f8e7cf1bb14c5afa1ecc94be849d,WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing.zip!Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/RUNTIME/schema_engine_input_output.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/RUNTIME/schema_engine_input_output.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM/RUNTIME/schema_engine_input_output.docx
3,38772,docx,e66a17d378ea67964f5737b12f462b3bfcf8579ad520103644286031c5ec9feb,WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing.zip!Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/ENGINE_11_STRUCTURAL_ENFORCEMENT.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/ENGINE_11_STRUCTURAL_ENFORCEMENT.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM/ENGINE/ENGINE_11_STRUCTURAL_ENFORCEMENT.docx
3,38769,docx,f90538071ce3af3577dd5138769a5dd2244fce0256b64444ba092d79cd0ac362,WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing.zip!Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/ENGINE_07_LORE_AUDIT.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/ENGINE_07_LORE_AUDIT.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM/ENGINE/ENGINE_07_LORE_AUDIT.docx
3,38761,docx,d6ebdb6f07861ef536f8f98637364fe7c0920a6af83e09f6aa5f3255881ea924,WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing.zip!Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/ENGINE_12_NARRATIVE_PHYSICS.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/ENGINE_12_NARRATIVE_PHYSICS.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM/ENGINE/ENGINE_12_NARRATIVE_PHYSICS.docx
3,38760,docx,53119d0eae4e777a00cc79753d65c9e931d4c443f9ce83ba474491f22f4f4933,WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing.zip!Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/ENGINE_17_THEME_INTEGRITY.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM.zip!WRITING_SYSTEM/ENGINE/ENGINE_17_THEME_INTEGRITY.docx | WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Module writing/WRITING_SYSTEM/ENGINE/ENGINE_17_THEME_INTEGRITY.docx
