logical_path,ext,size_bytes,depth,sha256,kind
WRITING_ARCHITECT.zip!WRITING_ARCHITECT/SOVEREIGN_Writing_System_v1.0,0,44918,0,3914d58fcbb15474876df5ccd985c42aadcea023efee32cb32a80e03087b2a8d,payload
WRITING_ARCHITECT.zip!__MACOSX/WRITING_ARCHITECT/._SOVEREIGN_Writing_System_v1.0,0,219,0,183d5f9ccea67024dcb7092db8834c69e7c17eabb356a6f322b8cc5b5563dfc0,packaging
WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Ultimate_Diagnostic.docx,docx,15253,0,f74cbde8bf38fc09a23cc1f8d617947e8b2baebd0f9b07b825c9a8664a253279,payload
WRITING_ARCHITECT.zip!__MACOSX/WRITING_ARCHITECT/._Ultimate_Diagnostic.docx,docx,219,0,183d5f9ccea67024dcb7092db8834c69e7c17eabb356a6f322b8cc5b5563dfc0,packaging
WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Ultimately_World_Build.docx,docx,17396,0,c1e157387805a72a1e166510cdd55f9ab6e42d7e0ec9d3ca6d12870f211e130e,payload
WRITING_ARCHITECT.zip!__MACOSX/WRITING_ARCHITECT/._Ultimately_World_Build.docx,docx,219,0,183d5f9ccea67024dcb7092db8834c69e7c17eabb356a6f322b8cc5b5563dfc0,packaging
WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Universal_Reader_Copy_Master_Protocol_Brian_Fochtman.docx,docx,42574,0,ed09e692942656302c7a148f0ec9c876e38537cef4a2ba79e19a60dc096ff9e0,payload
WRITING_ARCHITECT.zip!__MACOSX/WRITING_ARCHITECT/._Universal_Reader_Copy_Master_Protocol_Brian_Fochtman.docx,docx,275,0,8790282cf6c383211fe085bdeb93ea496532a0929e6fe67116ac662e9add0c75,packaging
WRITING_ARCHITECT.zip!WRITING_ARCHITECT/CFNetworkDownload_ZMXQIY.md,md,41840,0,8a31fb830917f274fca5ad5481a3c168b948b4704838ca6c092325f1e596cbef,payload
WRITING_ARCHITECT.zip!__MACOSX/WRITING_ARCHITECT/._CFNetworkDownload_ZMXQIY.md,md,219,0,183d5f9ccea67024dcb7092db8834c69e7c17eabb356a6f322b8cc5b5563dfc0,packaging
WRITING_ARCHITECT.zip!WRITING_ARCHITECT/MODULE_7_AI_Provenance_Verification_Implementation_Guide.docx,docx,52836,0,475cf149bfc7441b8f1a065820b928c523f62825b7a4c35257ad0ae862a6ac16,payload
WRITING_ARCHITECT.zip!__MACOSX/WRITING_ARCHITECT/._MODULE_7_AI_Provenance_Verification_Implementation_Guide.docx,docx,275,0,854b6b1bf84c6dc76bb99e56d08c6916a5722c4c1b95b4bfa5683da53073fb5a,packaging
WRITING_ARCHITECT.zip!WRITING_ARCHITECT/SOVEREIGN_v1.2_ReadAloud_Update.docx,docx,27809,0,4699eeb509ff1e21c851b174dfec35b336e30a7dc7ced33821f811994206e1f4,payload
WRITING_ARCHITECT.zip!__MACOSX/WRITING_ARCHITECT/._SOVEREIGN_v1.2_ReadAloud_Update.docx,docx,219,0,183d5f9ccea67024dcb7092db8834c69e7c17eabb356a6f322b8cc5b5563dfc0,packaging
WRITING_ARCHITECT.zip!WRITING_ARCHITECT/AI_Provenance_Verification_System_v2.0.docx,docx,62115,0,f1ad8c6f0e612f6eba80df39300fab019bcfa70f10a0014c67a6f001c2582af9,payload
WRITING_ARCHITECT.zip!__MACOSX/WRITING_ARCHITECT/._AI_Provenance_Verification_System_v2.0.docx,docx,219,0,183d5f9ccea67024dcb7092db8834c69e7c17eabb356a6f322b8cc5b5563dfc0,packaging
WRITING_ARCHITECT.zip!WRITING_ARCHITECT/UNHINDERED_Mastery_Operating_System_v2_0.docx,docx,51605,0,78b032d206aa8d32b1a56306eaf7a5e4b0c3f92212b489090449d78900940b61,payload
WRITING_ARCHITECT.zip!__MACOSX/WRITING_ARCHITECT/._UNHINDERED_Mastery_Operating_System_v2_0.docx,docx,219,0,183d5f9ccea67024dcb7092db8834c69e7c17eabb356a6f322b8cc5b5563dfc0,packaging
WRITING_ARCHITECT.zip!WRITING_ARCHITECT/Ultimate_Biblical_Research.docx,docx,16023,0,87b56d8e482ccbc05f6529b30a2856264c3e99784569ab98e7b0d5550e8b64d4,payload
WRITING_ARCHITECT.zip!__MACOSX/WRITING_ARCHITECT/._Ultimate_Biblical_Research.docx,docx,219,0,183d5f9ccea67024dcb7092db8834c69e7c17eabb356a6f322b8cc5b5563dfc0,packaging
